"","date","observed_cumulative_cases","observed_active_cases","observed_cumulative_deaths","observed_new_cases","observed_daily_average_cases","observed_new_episodes","observed_new_cases_community_outbreak","observed_new_cases_institution_outbreak","observed_new_cases_sporadic","observed_new_ICU_p_acute_care","observed_census_ICU","observed_census_ICU_p_acute_care","observed_census_acute_care","observed_new_deaths","cumulative_hosp","observed_new_community_cases","num_non_ltch_tests","non_ltch_pct_positivity","num_ltch_tests","ltch_pct_positivity","observed_pct_positivity","pct_positivity_7_day","adjusted_new_episodes","adjusted_active_cases","adjusted_episode_cases"
"336",2021-01-30,13446,873,413,42,58.3,19,1,6,12,2,5,33,28,1,707,13,2155,0.0157799994945526,216,0,1.43424288953019,1.88019010762709,19.2657178405724,890.843974986131,19
"337",2021-01-31,13489,815,414,25,55.6,43,3,5,35,4,6,32,26,1,711,38,922,0.0195200002193451,24,0,1.90247782264653,1.84025738177955,44.0302861366257,837.096926351314,43
"338",2021-02-01,13529,724,414,26,55.1,40,6,7,25,4,5,29,24,0,715,31,548,0.0292000007629395,29,0,2.77324097367259,1.95819459014531,39.2251914531677,752.614148777208,40
"339",2021-02-02,13571,660,415,59,53,42,4,5,31,3,5,27,22,1,718,35,2439,0.0221399998664856,107,0.0280399990081787,2.23879574109322,1.94339546085754,41.1167016889968,681.057803278225,42
"340",2021-02-03,13634,645,415,54,49.3,63,5,21,36,2,4,26,22,0,720,41,2865,0.0129100000858307,212,0,1.20205233168362,1.84625167827158,62.7023634259005,656.049375846483,63
"341",2021-02-04,13716,647,415,51,47.1,82,3,43,33,2,5,25,20,0,722,36,2814,0.0127900004386902,90,0,1.23936161275738,1.71130736048939,79.6358507645142,658.427651240018,82
"342",2021-02-05,13774,647,416,72,47,58,1,8,48,2,5,21,16,1,724,49,2435,0.0160199999809265,149,0,1.50962461120573,1.75711371179847,58.0541919707091,660.919636837731,58
"343",2021-02-06,13799,616,416,61,49.7,25,2,3,19,3,6,21,15,0,727,21,2369,0.0143499994277954,205,0.0146300005912781,1.43722994427581,1.75754043390498,24.4301304697317,628.617160445463,25
"344",2021-02-07,13824,571,418,33,50.9,25,1,2,19,3,4,23,19,2,730,20,1004,0.0249000000953674,75,0,2.31692308579693,1.81674690006933,22.6603835843389,589.853951332875,25
"345",2021-02-08,13871,568,420,24,50.6,47,1,7,38,2,5,21,16,2,732,39,852,0.0140799999237061,29,0,1.36165266004513,1.61509142669397,46.7568078051732,579.022226495856,47
"346",2021-02-09,13926,586,420,43,48.3,55,5,8,39,0,2,19,17,0,732,44,2244,0.0178299999237061,149,0,1.67198160588368,1.5341179788069,53.0484285247722,599.963161716284,55
