,date,hosp_census_5_current,hosp_census_95_current,hosp_census_median_current,vent_census_5_current,vent_census_95_current,vent_census_median_current,hosp_admits_5_current,hosp_admits_95_current,hosp_admits_median_current,vent_admits_5_current,vent_admits_95_current,vent_admits_median_current,hosp_census_5_reduction_10,hosp_census_95_reduction_10,hosp_census_median_reduction_10,vent_census_5_reduction_10,vent_census_95_reduction_10,vent_census_median_reduction_10,hosp_admits_5_reduction_10,hosp_admits_95_reduction_10,hosp_admits_median_reduction_10,vent_admits_5_reduction_10,vent_admits_95_reduction_10,vent_admits_median_reduction_10,hosp_census_5_increase_10,hosp_census_95_increase_10,hosp_census_median_increase_10,vent_census_5_increase_10,vent_census_95_increase_10,vent_census_median_increase_10,hosp_admits_5_increase_10,hosp_admits_95_increase_10,hosp_admits_median_increase_10,vent_admits_5_increase_10,vent_admits_95_increase_10,vent_admits_median_increase_10
402,2021-08-13,0.7446881341339735,25.815985148375532,3.4183215285880566,0.008592169819825394,6.871919629150963,0.9338942620129183,0.0,3.0,0.0,0.0,1.0,0.0,0.0010429682846311065,4.719097474700289,0.46099301349018995,1.978856021450247e-07,1.0635936201859264,0.04819670741708603,0.0,1.0,0.0,0.0,0.0,0.0,4.510438311835038,233.4276870209301,13.994154319729597,0.36140052892384317,59.04418776870662,3.4284791406116986,0.0,27.0,2.0,0.0,7.0,0.0
403,2021-08-14,0.7247627493191096,25.786158856167077,3.3642143705933965,0.008115573103701566,6.864921324629973,0.9270105112637606,0.0,3.0,0.0,0.0,1.0,0.0,0.0009269646545923224,4.669816918474565,0.44266953196058534,1.6877754201116367e-07,1.0518690551212246,0.045112816955260655,0.0,1.0,0.0,0.0,0.0,0.0,4.415315563278941,235.35950077048554,13.936565312000042,0.3540502261286126,59.443834462865404,3.4250472106274863,0.0,28.0,2.0,0.0,7.0,0.0
404,2021-08-15,0.7026943614987803,25.797542967395792,3.341119552344474,0.007411712232531219,6.842127000007023,0.9165703510785241,0.0,3.0,0.0,0.0,1.0,0.0,0.0008103254378869834,4.627468661471411,0.42353972846686283,1.4109191372557767e-07,1.0386429608059278,0.04269008713435335,0.0,1.0,0.0,0.0,0.0,0.0,4.355851532926232,237.19552198903693,13.888788607620695,0.3489411394468494,60.134401607894596,3.400776121289629,0.0,28.0,2.0,0.0,7.0,0.0
405,2021-08-16,0.7055477678151815,25.673158722474234,3.2896289772351452,0.006816009891329576,6.798912697773872,0.9048780353526937,0.0,3.0,0.0,0.0,1.0,0.0,0.0007045399547492696,4.5369490892967415,0.4109079413925701,1.1810536644494108e-07,1.0353363346228612,0.04019814917888245,0.0,1.0,0.0,0.0,0.0,0.0,4.28221061649111,239.26083449095867,13.831210334307311,0.3477671564031275,60.46162639465226,3.3574933763805923,0.0,28.0,2.0,0.0,7.0,0.0
406,2021-08-17,0.6790946127514927,25.626593425167272,3.22585450733661,0.006480166521774875,6.795164328170269,0.8894248595562672,0.0,3.0,0.0,0.0,1.0,0.0,0.0006074203118057014,4.5552767689994855,0.40375911627551797,9.963080345198106e-08,1.0151273289463765,0.038187415267092094,0.0,1.0,0.0,0.0,0.0,0.0,4.2061307284106775,241.28644418153678,13.638557048492924,0.33994398557215083,60.94592808691678,3.340293071787073,0.0,28.0,2.0,0.0,7.0,0.0
407,2021-08-18,0.6587292601171122,25.481628827018366,3.194103612390157,0.006377772364317185,6.780002519750596,0.8733116841408106,0.0,3.0,0.0,0.0,1.0,0.0,0.0005347759088559735,4.520777825596095,0.38584442849286943,8.40885110024854e-08,1.0130575270877291,0.036246122119239284,0.0,1.0,0.0,0.0,0.0,0.0,4.2376129613083355,243.20663530683174,13.612959582929562,0.3397594463831548,61.31955978517395,3.3233776989655133,0.0,28.0,2.0,0.0,7.0,0.0
408,2021-08-19,0.6344928172381284,25.444268154938978,3.158482760301788,0.006078017457628788,6.7639520569456515,0.8606488781629376,0.0,3.0,0.0,0.0,1.0,0.0,0.00046986822334082996,4.422295667881948,0.3700247548551334,7.015823842453821e-08,1.0092542929525747,0.034139795415429774,0.0,1.0,0.0,0.0,0.0,0.0,4.168986020431986,244.88059037717775,13.533168613236574,0.3302183475774114,61.93871913763647,3.3069921374911155,0.0,29.0,2.0,0.0,7.0,0.0
409,2021-08-20,0.6039162042658901,25.30488873367383,3.13013087895295,0.005814587722852682,6.7553059414530665,0.8542445723026878,0.0,3.0,0.0,0.0,1.0,0.0,0.00040878647086068986,4.380946743211456,0.3573757258900888,5.7753342401859003e-08,1.002866237458976,0.03228012188728882,0.0,1.0,0.0,0.0,0.0,0.0,4.117052631510076,246.77383102944046,13.417354475175532,0.321481567818749,62.30470675905485,3.29020805676432,0.0,29.0,2.0,0.0,7.0,0.0
410,2021-08-21,0.5838660584107452,25.352435374669238,3.089056735795003,0.005720552788653579,6.718654478553684,0.8459182029528275,0.0,3.0,0.0,0.0,1.0,0.0,0.000350576844701422,4.354285066907984,0.34200978769711793,4.785402618631886e-08,0.99569256787785,0.030140969599205036,0.0,1.0,0.0,0.0,0.0,0.0,4.101053530200337,248.11151184541848,13.3717585521179,0.32026750501267764,62.85059315367613,3.2834759551495476,0.0,29.0,2.0,0.0,7.0,0.0
411,2021-08-22,0.5698453142101458,25.279472545052435,3.021321937761649,0.005326159157031792,6.687327595509467,0.8342517531366147,0.0,3.0,0.0,0.0,1.0,0.0,0.0003114434880262495,4.310610654467554,0.32777815668623633,3.947029979052e-08,0.9968372667204443,0.02833490615715443,0.0,1.0,0.0,0.0,0.0,0.0,4.036099927667258,250.38202320123045,13.262760389197439,0.31737083244801284,63.4696213148663,3.2762273231879204,0.0,29.0,2.0,0.0,7.0,0.0
412,2021-08-23,0.5697988957013487,25.287757574753655,3.007605131146669,0.004939102365791149,6.709241656135167,0.815138911872479,0.0,3.0,0.0,0.0,1.0,0.0,0.0002700480703146019,4.242123935233056,0.3107584970524737,3.297286487864405e-08,0.9720887631347789,0.026329674861224887,0.0,1.0,0.0,0.0,0.0,0.0,3.9979417358047717,252.53702276310852,13.118274036423086,0.3093539262257252,63.98365258640194,3.229673229342767,0.0,29.0,2.0,0.0,7.0,0.0
